"question_id","classroom_id","is_correct","skill_id","created_at","attempt","student_id"
"958","19","0","641","2015-04-03T11:32:46.962Z","1","1121"
"969","19","1","641","2015-04-03T11:32:54.620Z","1","1121"
"959","19","0","641","2015-04-03T11:33:01.221Z","1","1121"
"942","19","1","635","2015-04-06T13:44:36.756Z","1","1121"
"936","19","1","635","2015-04-06T13:44:43.304Z","1","1121"
"940","19","1","635","2015-04-06T13:44:53.986Z","1","1121"
"943","19","1","635","2015-04-06T13:45:10.433Z","1","1121"
"945","19","1","635","2015-04-06T13:45:21.171Z","1","1121"
"955","19","1","636","2015-04-07T11:29:17.751Z","1","1121"
"947","19","1","636","2015-04-07T11:29:24.003Z","1","1121"
"954","19","1","636","2015-04-07T11:29:30.410Z","1","1121"
"948","19","1","636","2015-04-07T11:29:44.038Z","1","1121"
"953","19","1","636","2015-04-07T11:29:56.358Z","1","1121"
"930","19","1","632","2015-03-26T11:36:55.393Z","1","1135"
"922","19","1","632","2015-03-26T11:37:20.593Z","1","1135"
"920","19","1","632","2015-03-26T11:37:49.581Z","1","1135"
"787","19","1","632","2015-03-26T11:38:04.844Z","1","1135"
"928","19","1","632","2015-03-26T11:38:13.133Z","1","1135"
"942","19","1","635","2015-03-30T14:52:44.983Z","1","1135"
"936","19","1","635","2015-03-30T14:53:08.611Z","1","1135"
"944","19","1","635","2015-03-30T14:53:26.593Z","1","1135"
"937","19","1","635","2015-03-30T14:53:52.700Z","1","1135"
"945","19","1","635","2015-03-30T14:54:06.399Z","1","1135"
"947","19","1","636","2015-03-31T11:23:55.970Z","1","1135"
"948","19","1","636","2015-03-31T11:24:21.415Z","1","1135"
"950","19","1","636","2015-03-31T11:25:10.587Z","1","1135"
"955","19","1","636","2015-03-31T11:25:50.945Z","1","1135"
"956","19","1","636","2015-03-31T11:41:42.230Z","1","1135"
"963","19","1","641","2015-04-03T11:34:16.531Z","1","1135"
"975","19","0","641","2015-04-03T11:34:24.885Z","1","1135"
"971","19","1","641","2015-04-03T11:34:33.302Z","1","1135"
"977","19","0","641","2015-04-03T11:34:41.697Z","1","1135"
"976","19","1","641","2015-04-03T11:34:47.690Z","1","1135"
"976","19","1","641","2015-04-04T05:26:01.374Z","2","1135"
"958","19","1","641","2015-04-04T05:26:06.839Z","1","1135"
"964","19","1","641","2015-04-04T05:26:16.347Z","1","1135"
"969","19","1","641","2015-04-04T05:26:24.920Z","1","1135"
"960","19","1","641","2015-04-04T05:26:31.172Z","1","1135"
"944","19","1","635","2015-04-06T13:42:44.595Z","2","1135"
"942","19","1","635","2015-04-06T13:42:54.941Z","2","1135"
"937","19","1","635","2015-04-06T13:43:06.472Z","2","1135"
"936","19","1","635","2015-04-06T13:43:17.703Z","2","1135"
"941","19","1","635","2015-04-06T13:43:24.986Z","1","1135"
"947","19","1","636","2015-04-07T11:27:38.602Z","2","1135"
"949","19","1","636","2015-04-07T11:27:50.716Z","1","1135"
"948","19","1","636","2015-04-07T11:27:59.837Z","2","1135"
"952","19","1","636","2015-04-07T11:28:18.856Z","1","1135"
"954","19","1","636","2015-04-07T11:28:29.101Z","1","1135"
"973","19","1","641","2015-04-04T14:19:19.712Z","1","1129"
"961","19","1","641","2015-04-04T14:19:27.935Z","1","1129"
"964","19","1","641","2015-04-04T14:19:35.791Z","1","1129"
"971","19","0","641","2015-04-04T14:19:44.834Z","1","1129"
"969","19","0","641","2015-04-04T14:19:51.188Z","1","1129"
"952","19","1","636","2015-04-07T10:02:04.011Z","1","1129"
"949","19","1","636","2015-04-07T10:02:32.590Z","1","1129"
"948","19","1","636","2015-04-07T10:02:54.714Z","1","1129"
"947","19","1","636","2015-04-07T10:03:06.568Z","1","1129"
"953","19","1","636","2015-04-07T10:03:44.044Z","1","1129"
"924","19","1","632","2015-03-26T08:22:17.485Z","1","1114"
"925","19","1","632","2015-03-26T08:22:25.581Z","1","1114"
"786","19","1","632","2015-03-26T08:22:35.556Z","1","1114"
"930","19","1","632","2015-03-26T08:22:42.506Z","1","1114"
"927","19","1","632","2015-03-26T08:22:53.284Z","1","1114"
"939","19","1","635","2015-03-30T09:04:12.761Z","1","1114"
"944","19","1","635","2015-03-30T09:04:22.694Z","1","1114"
"945","19","1","635","2015-03-30T09:04:31.936Z","1","1114"
"938","19","1","635","2015-03-30T09:04:40.735Z","1","1114"
"940","19","1","635","2015-03-30T09:04:49.187Z","1","1114"
"950","19","1","636","2015-03-31T09:16:22.492Z","1","1114"
"949","19","1","636","2015-03-31T09:16:58.203Z","1","1114"
"955","19","1","636","2015-03-31T09:17:06.757Z","1","1114"
"947","19","1","636","2015-03-31T09:17:16.549Z","1","1114"
